id,source_numeric_id,chinese_name,pinyin,english_name
SMTS00110,110,喘促,Chuan Cu,shortness of breath
SMTS00111,111,喘促气逆,Chuan Cu Qi Ni,shortness of breath and shortness of breath
SMTS00112,112,喘促痰多,Chuan Cu Tan Duo,"Breathing, promoting phlegm and excessive phlegm"
SMTS00113,113,喘急,Chuan Ji,shortness of breath
SMTS00114,114,喘咳,Chuan Ke,asthma and cough
SMTS00115,115,喘满,Chuan Man,dyspnea
SMTS00116,116,喘嗽,Chuan Sou,asthma and cough
SMTS00117,117,喘息,Chuan Xi,wheezing
SMTS00118,118,疮毒,Chuang Du,Sores
SMTS00119,119,疮疖痈肿,Chuang Jie Yong Zhong,"sores, boils and carbuncles"
SMTS00120,120,疮疖肿毒,Chuang Jie Zhong Du,"sores, boils, swelling and poison"
SMTS00121,121,疮疖肿痛,Chuang Jie Zhong Tong,"sores, boils, swelling and pain"
SMTS00122,122,疮口久不愈合,Chuang Kou Jiu Bu Yu He,Sores that don’t heal for a long time
SMTS00123,123,疮面久溃不敛,Chuang Mian Jiu Kui Bu Lian,sores that persist for a long time
SMTS00124,124,疮面疼痛,Chuang Mian Teng Tong,Sore face pain
SMTS00125,125,疮面鲜活,Chuang Mian Xian Huo,sores appear fresh
SMTS00126,126,疮色鲜活,Chuang Se Xian Huo,Sores are vivid in color
SMTS00128,128,疮疡,Chuang Yang,sores
SMTS00129,129,疮疡不敛,Chuang Yang Bu Lian,sores that do not heal
SMTS00130,130,疮疡久溃不敛,Chuang Yang Jiu Kui Bu Lian,Sores that persist for a long time
SMTS00131,131,疮疡溃烂,Chuang Yang Kui Lan,sores and ulcers
SMTS00132,132,疮疡肿痛,Chuang Yang Zhong Tong,"sores, swelling and pain"
SMTS00133,133,疮痈肿痛,Chuang Yong Zhong Tong,"sores, swelling and pain"
SMTS00134,134,疮肿,Chuang Zhong,sores and swelling
SMTS00136,136,唇干,Chun Gan,Dry lips
SMTS00137,137,唇甲出血,Chun Jia Chu Xie,lip nail bleeding
SMTS00138,138,唇甲色淡,Chun Jia Se Dan,pale lip and nail color
SMTS00139,139,刺痛,Ci Tong,tingling
SMTS00140,140,猝然昏倒,Cu Ran Hun Dao,sudden fainting
SMTS00141,141,窜痛,Cuan Tong,channeling pain
SMTS00142,142,挫伤筋骨,Cuo Shang Jin Gu,Bruised muscles and bones
SMTS00143,143,大便不畅,Da Bian Bu Chang,difficulty in defecation
SMTS00144,144,大便不利,Da Bian Bu Li,Difficulty in defecation
SMTS00145,145,大便不爽,Da Bian Bu Shuang,Unpleasant bowel movement
SMTS00146,146,大便不调,Da Bian Bu Diao,irregular bowel movements
SMTS00148,148,大便不下,Da Bian Bu Xia,Inability to defecate
SMTS00149,149,大便臭秽,Da Bian Chou Hui,Smelly stool
SMTS00150,150,大便出血,Da Bian Chu Xie,bleeding in stool
SMTS00151,151,大便次数增多 ,Da Bian Ci Shu Zeng Duo  ,increased stool frequency
SMTS00152,152,大便干,Da Bian Gan,dry stool
SMTS00153,153,大便干结,Da Bian Gan Jie,dry stool
SMTS00154,154,大便干结难下,Da Bian Gan Jie Nan Xia,dry and hard stool
SMTS00155,155,大便干燥,Da Bian Gan Zao,dry stool
SMTS00156,156,大便困难,Da Bian Kun Nan,Difficulty in defecation
SMTS00157,157,大便秘结,Da Bian Mi Jie,constipation
SMTS00158,158,大便黏滞,Da Bian Nian Zhi,sticky stool
SMTS00159,159,大便黏滞不爽 ,Da Bian Nian Zhi Bu Shuang  ,Sticky and unpleasant stools
SMTS00160,160,大便脓血,Da Bian Nong Xie,pus and blood in stool
SMTS00161,161,大便清稀,Da Bian Qing Xi,loose stools
SMTS00162,162,大便失调,Da Bian Shi Diao,Defecation Disorders
SMTS00163,163,大便酸臭,Da Bian Suan Chou,sour and smelly stools
SMTS00164,164,大便溏雹,Da Bian Tang Bao,loose stools
SMTS00165,165,大便溏薄,Da Bian Tang Bo,loose stools
SMTS00166,166,大便溏软,Da Bian Tang Ruan,loose stools
SMTS00167,167,大便溏泻,Da Bian Tang Xie,loose stools and diarrhea
SMTS00168,168,大便稀薄如水样,Da Bian Xi Bo Ru Shui Yang,thin and watery stool
SMTS00169,169,大便稀溏,Da Bian Xi Tang,loose stools
SMTS00170,170,大便泄泻,Da Bian Xie Xie,stool and diarrhea
SMTS00171,171,大便燥结,Da Bian Zao Jie,dry stool
SMTS00173,173,带下白浊,Dai Xia Bai Zhuo,white turbid vaginal discharge
SMTS00175,175,带下量多,Dai Xia Liang Duo,heavy vaginal discharge
SMTS00176,176,带下色黄,Dai Xia Se Huang,vaginal discharge with yellow color
SMTS00177,177,带下色黄质稠,Dai Xia Se Huang Zhi Chou,vaginal discharge with thick yellowish substance
SMTS00182,182,倒饱嘈杂,Dao Bao Cao Za,Feeling full and noisy
SMTS00183,183,盗汗,Dao Han,night sweats
SMTS00184,184,低热,Di Re,low fever
SMTS00185,185,巅顶疼痛,Dian Ding Teng Tong,Peak Pain
SMTS00186,186,癫狂,Dian Kuang,Madness
SMTS00187,187,癫痫,Dian Xian,Epilepsy
SMTS00188,188,癫痫痰多,Dian Xian Tan Duo,epilepsy with excessive phlegm
SMTS00189,189,癲痫,Dian Xian,Epilepsy
SMTS00190,190,跌打伤痛,Die Da Shang Tong,bruises and pain
SMTS00191,191,跌打损伤,Die Da Sun Shang,bruises and injuries
SMTS00192,192,跌打瘀痛,Die Da Yu Tong,pain due to bruises and blood stasis
SMTS00193,193,跌打肿痛,Die Da Zhong Tong,swelling and pain due to bruises
SMTS00194,194,跌扑伤痛,Die Pu Shang Tong,Pain due to fall
SMTS00195,195,跌扑瘀肿,Die Pu Yu Zhong,"falling, fluttering, blood stasis and swelling"
SMTS00196,196,跌扑肿痛,Die Pu Zhong Tong,swelling and pain due to falls
SMTS00197,197,疔疮痈肿初起,Ding Chuang Yong Zhong Chu Qi,First onset of boils and carbuncles
SMTS00198,198,疔疮肿痛,Ding Chuang Zhong Tong,"boils, swelling and pain"
SMTS00199,199,疔毒,Ding Du,boils
SMTS00201,201,动辄汗出,Dong Zhe Han Chu,Frequent sweating
SMTS00206,206,短气,Duan Qi,shortness of breath
SMTS00208,208,多汗,Duo Han,excessive sweating
SMTS00209,209,多泪,Duo Lei,excessive tears
SMTS00210,210,多泪羞明,Duo Lei Xiu Ming,excessive tears and shy eyesight
SMTS00211,211,多梦,Duo Meng,dreaminess
SMTS00212,212,多尿,Duo Niao,polyuria
SMTS00213,213,多食,Duo Shi,eating too much
SMTS00214,214,多涎,Duo Xian,excessive salivation
SMTS00215,215,多饮,Duo Yin,Polydipsia
SMTS00216,216,呃逆,E Ni,hiccups
SMTS00217,217,恶疮,E Chuang,malignant sores
SMTS00218,218,恶风寒,E Feng Han,Aversion to wind and cold
SMTS00219,219,恶寒,E Han,Aversion to cold
SMTS00220,220,恶寒重,E Han Zhong,Severe aversion to cold
SMTS00221,221,恶寒壮热,E Han Zhuang Re,aversion to cold and strengthening of heat
SMTS00222,222,恶心,E Xin,Nausea
SMTS00223,223,耳道流脓,Er Dao Liu Nong,Ear canal discharge
SMTS00224,224,耳聋,Er Long,Deafness
SMTS00225,225,耳漏,Er Lou,otorrhea
SMTS00226,226,耳鸣,Er Ming,tinnitus
SMTS00227,227,耳内流脓,Er Nei Liu Nong,Ear discharge
SMTS00228,228,耳下肿痛,Er Xia Zhong Tong,swelling and pain under the ears
SMTS00229,229,二便失禁,Er Bian Shi Jin,fecal incontinence
SMTS00230,230,发斑,Fa Ban,hair spots
SMTS00231,231,发喘,Fa Chuan,Asthma
SMTS00233,233,发狂,Fa Kuang,Madness
SMTS00234,234,发热,Fa Re,fever
SMTS00235,235,发热重,Fa Re Zhong,severe fever
SMTS00236,236,发烧,Fa Shao,fever
SMTS00237,237,发颐,Fa Yi,Fayi
SMTS00238,238,发育迟缓,Fa Yu Chi Huan,Developmental delay
SMTS00239,239,发疹,Fa Zhen,Rash
SMTS00240,240,乏力,Fa Li,fatigue
SMTS00241,241,烦倦,Fan Juan,Tiredness
SMTS00242,242,烦渴,Fan Ke,Polydipsia
SMTS00243,243,烦热,Fan Re,Fever
SMTS00244,244,烦躁,Fan Zao,irritability
SMTS00245,245,烦躁不安,Fan Zao Bu An,irritability
SMTS00246,246,烦躁不宁,Fan Zao Bu Ning,restlessness
SMTS00247,247,烦躁不适,Fan Zao Bu Shi,irritability and discomfort
SMTS00248,248,烦躁易怒,Fan Zao Yi Nu,irritability and irritability
SMTS00249,249,烦躁谵语,Fan Zao Zhan Yu,Irritability and Delirium
SMTS00250,250,反酸,Fan Suan,Acid Reflux
SMTS00251,251,反胃,Fan Wei,Nausea
SMTS00252,252,反应迟钝,Fan Ying Chi Dun,slow response
SMTS00253,253,泛吐清水,Fan Tu Qing Shui,general vomiting of water
SMTS00254,254,肺痨,Fei Lao,Tuberculosis
SMTS00255,255,肺气不畅,Fei Qi Bu Chang,poor lung qi
SMTS00256,256,肺热,Fei Re,Lung heat
SMTS00257,257,肺热咳嗽,Fei Re Ke Sou,Cough due to lung heat
SMTS00258,258,肺痈,Fei Yong,lung abscess
SMTS00259,259,肺燥,Fei Zao,dryness of the lungs
SMTS00260,260,痱疹鲜红,Fei Zhen Xian Hong,prickly heat rash bright red
SMTS00261,261,粉刺,Fen Ci,Acne
SMTS00262,262,粉剌疙瘩,Fen La Ge Da,powdery pimples
SMTS00263,263,风寒头痛,Feng Han Tou Tong,headache due to wind cold
SMTS00264,264,风热,Feng Re,wind-heat
SMTS00265,265,风热感冒,Feng Re Gan Mao,wind-heat and cold
SMTS00266,266,风湿痹痛,Feng Shi Bi Tong,rheumatic arthralgia
SMTS00267,267,风湿关节痛,Feng Shi Guan Jie Tong,rheumatic joint pain
SMTS00268,268,风湿疼痛,Feng Shi Teng Tong,rheumatic pain
SMTS00269,269,风湿瘀痛,Feng Shi Yu Tong,Rheumatism and blood stasis pain
SMTS00270,270,风湿肢体关节痿软,Feng Shi Zhi Ti Guan Jie Wei Ruan,"rheumatism, weak joints in limbs"
SMTS00271,271,风痰,Feng Tan,Wind Phlegm
SMTS00272,272,风痰眩晕,Feng Tan Xuan Yun,dizziness caused by wind and phlegm
SMTS00273,273,风痰瘀血痹阻脉络,Feng Tan Yu Xie Bi Zu Mai Luo,"wind, phlegm, blood stasis, obstruction of veins"
SMTS00274,274,风痛,Feng Tong,wind pain
SMTS00275,275,风眼烂弦,Feng Yan Lan Xian,Wind eye and strings
SMTS00276,276,风疹发红,Feng Zhen Fa Hong,rubella redness
SMTS00277,277,风疹瘙痒,Feng Zhen Sao Yang,rubella itching
SMTS00278,278,浮肿,Fu Zhong,edema
SMTS00279,279,腐肉不去,Fu Rou Bu Qu,Carrion does not go away
SMTS00280,280,妇女痛经,Fu Nv Tong Jing,Women’s Dysmenorrhea
SMTS00281,281,妇女癥瘕,Fu Nv Zheng Jia,Gynecomastia
SMTS00282,282,腹暴痛,Fu Bao Tong,Abdominal pain
SMTS00283,283,腹部不适,Fu Bu Bu Shi,abdominal discomfort
SMTS00284,284,腹部隐痛,Fu Bu Yin Tong,Abdominal pain
SMTS00285,285,腹部胀满,Fu Bu Zhang Man,abdominal fullness
SMTS00286,286,腹部胀满不舒,Fu Bu Zhang Man Bu Shu,abdominal fullness and discomfort
SMTS00287,287,腹水,Fu Shui,ascites
SMTS00288,288,腹痛,Fu Tong,abdominal pain
SMTS00289,289,腹痛绵绵,Fu Tong Mian Mian,Abdominal pain
SMTS00290,290,腹泻,Fu Xie,Diarrhea
SMTS00291,291,腹有癥块,Fu You Zheng Kuai,Symptoms in the abdomen
SMTS00292,292,腹胀,Fu Zhang,abdominal distension
SMTS00293,293,腹胀满,Fu Zhang Man,abdominal distension and fullness
SMTS00294,294,腹中冷痛,Fu Zhong Leng Tong,cold pain in the abdomen
SMTS00295,295,腹中胀满,Fu Zhong Zhang Man,fullness in the abdomen
SMTS00297,297,肝火目赤,Gan Huo Mu Chi,"Liver fire, red eyes"
SMTS00298,298,肝区疼痛,Gan Qu Teng Tong,pain in liver area
SMTS00299,299,肝区胀痛,Gan Qu Zhang Tong,swelling and pain in the liver area
SMTS00300,300,肝热目赤,Gan Re Mu Chi,Liver heat and red eyes
SMTS00301,301,肝痛,Gan Tong,liver pain
SMTS00302,302,肝阳眩晕,Gan Yang Xuan Yun,Liver Yang dizziness
SMTS00309,309,干咳,Gan Ke,dry cough
SMTS00310,310,干呕,Gan Ou,retching
SMTS00311,311,肛窦炎出血,Gang Dou Yan Chu Xie,anal sinusitis and bleeding
SMTS00312,312,肛裂疼痛,Gang Lie Teng Tong,anal fissure pain
SMTS00313,313,肛门疼痛,Gang Men Teng Tong,anal pain
SMTS00314,314,肛门下坠,Gang Men Xia Zhui,Anal prolapse
SMTS00315,315,肛门肿痛,Gang Men Zhong Tong,Anal swelling and pain
SMTS00316,316,肛门灼热,Gang Men Zhuo Re,Anal burning
SMTS00317,317,高热,Gao Re,high fever
SMTS00318,318,高热不退,Gao Re Bu Tui,high fever that does not go away
SMTS00319,319,高热惊厥,Gao Re Liang Jue,febrile convulsions
SMTS00320,320,高热神昏,Gao Re Shen Hun,high fever and coma
SMTS00321,321,高血压头痛,Gao Xie Ya Tou Tong,high blood pressure and headache
SMTS00323,323,髙热,Gao Re,high fever
SMTS00324,324,髙热不退,Gao Re Bu Tui,high fever that does not go away
SMTS00325,325,睾丸偏坠,Gao Wan Pian Zhui,testicular prolapse
SMTS00326,326,睾丸痛,Gao Wan Tong,testicular pain
SMTS00327,327,睾丸肿,Gao Wan Zhong,testicular swelling
SMTS00328,328,睾丸坠胀疼痛,Gao Wan Zhui Zhang Teng Tong,testicle swelling and pain
SMTS00329,329,咯痰,Ge Tan,expectoration
SMTS00330,330,咯痰、血,Ge Tan 、 Xie,"expectoration, blood"
SMTS00331,331,咯痰不爽,Ge Tan Bu Shuang,Unpleasant expectoration
SMTS00332,332,咯痰黄稠,Ge Tan Huang Chou,Vomiting yellow and thick phlegm
SMTS00333,333,咯痰色白,Ge Tan Se Bai,expectoration with white color
SMTS00334,334,咯痰色黄,Ge Tan Se Huang,Vomiting and yellow phlegm
SMTS00335,335,咯痰稀白,Ge Tan Xi Bai,Vomiting and thin white phlegm
SMTS00336,336,咯吐白痰,Ge Tu Bai Tan,Vomiting white phlegm
SMTS00337,337,咯吐不爽,Ge Tu Bu Shuang,Unpleasant vomiting
SMTS00338,338,咯血,Ge Xie,hemoptysis
SMTS00341,341,宫寒,Gong Han,Gong Han
SMTS00343,343,骨关节疼痛,Gu Guan Jie Teng Tong,bone and joint pain
SMTS00344,344,骨关节肿大,Gu Guan Jie Zhong Da,bone and joint swelling
SMTS00345,345,骨节酸痛,Gu Jie Suan Tong,joint pain
SMTS00346,346,骨节疼痛,Gu Jie Teng Tong,joint pain
SMTS00347,347,骨扭伤,Gu Niu Shang,bone sprain
SMTS00349,349,骨折肿痛,Gu Zhe Zhong Tong,"fracture, swelling and pain"
SMTS00350,350,骨蒸劳热,Gu Zheng Lao Re,bone steaming fever
SMTS00352,352,骨肿大,Gu Zhong Da,bone swelling
SMTS00354,354,关节痹痛,Guan Jie Bi Tong,joint pain
SMTS00355,355,关节不利,Guan Jie Bu Li,Joint Disadvantage
SMTS00356,356,关节刺痛,Guan Jie Ci Tong,joint pain
SMTS00357,357,关节钝痛,Guan Jie Dun Tong,Dull pain in joints
SMTS00358,358,关节红肿热痛,Guan Jie Hong Zhong Re Tong,"joint redness, swelling, heat and pain"
SMTS00359,359,关节僵硬,Guan Jie Jiang Ying,joint stiffness
SMTS00360,360,关节剧痛,Guan Jie Ju Tong,severe joint pain
SMTS00361,361,关节冷痛,Guan Jie Leng Tong,cold joint pain
SMTS00362,362,关节麻木,Guan Jie Ma Mu,joint numbness
SMTS00363,363,关节扭伤,Guan Jie Niu Shang,joint sprains
SMTS00364,364,关节屈伸不利,Guan Jie Qu Shen Bu Li,Inadequate joint flexion and extension
SMTS00365,365,关节四肢疼痛,Guan Jie Si Zhi Teng Tong,pain in joints and limbs
SMTS00366,366,关节酸痛,Guan Jie Suan Tong,joint pain
SMTS00367,367,关节酸痛麻木,Guan Jie Suan Tong Ma Mu,joint pain and numbness
SMTS00368,368,关节疼痛,Guan Jie Teng Tong,joint pain
SMTS00369,369,关节疼痈,Guan Jie Teng Yong,joint pain and carbuncle
SMTS00370,370,关节痛,Guan Jie Tong,joint pain
SMTS00371,371,关节肿大,Guan Jie Zhong Da,joint swelling
SMTS00372,372,关节肿痛,Guan Jie Zhong Tong,joint swelling and pain
SMTS00373,373,关节肿胀疼痛,Guan Jie Zhong Zhang Teng Tong,joint swelling and pain
SMTS00376,376,寒疝,Han Shan,Cold Hernia
SMTS00377,377,寒湿痹痛,Han Shi Bi Tong,cold-dampness arthralgia
SMTS00378,378,寒痰,Han Tan,cold phlegm
SMTS00379,379,寒性腹泻,Han Xing Fu Xie,cold diarrhea
SMTS00380,380,汗出,Han Chu,sweating
SMTS00381,381,汗出不畅,Han Chu Bu Chang,poor sweating
SMTS00382,382,汗出不解,Han Chu Bu Jie,Perplexed sweating
SMTS00383,383,汗少,Han Shao,less sweating
SMTS00385,385,行经腹痛,Xing Jing Fu Tong,abdominal pain during menstruation
SMTS00386,386,行经小腹冷痛,Xing Jing Xiao Fu Leng Tong,cold pain in lower abdomen during menstruation
SMTS00387,387,行走无力,Xing Zou Wu Li,Weakness in walking
SMTS00388,388,黑便,Hei Bian,black stool
SMTS00390,390,烘热,Hong Re,fever
SMTS00392,392,红肿,Hong Zhong,redness and swelling
SMTS00394,394,喉核红肿,Hou He Hong Zhong,redness and swelling of the throat core
SMTS00395,395,喉核肿大,Hou He Zhong Da,Swelling of laryngeal core
SMTS00396,396,喉间痰鸣,Hou Jian Tan Ming,Phlegm in the throat
SMTS00397,397,喉痛,Hou Tong,sore throat
SMTS00398,398,喉痒,Hou Yang,itchy throat
SMTS00399,399,喉中作响,Hou Zhong Zuo Xiang,Sound in the throat
SMTS00400,400,喉肿,Hou Zhong,swollen larynx
SMTS00402,402,呼吸气促,Hu Xi Qi Cu,shortness of breath
SMTS00403,403,滑精,Hua Jing,Huajing
SMTS00405,405,黄疸,Huang Dan,jaundice
SMTS00406,406,黄痰,Huang Tan,yellow phlegm
SMTS00407,407,会阴少腹腰骶部疼痛,Hui Yin Shao Fu Yao Di Bu Teng Tong,lumbosacral pain in the lower abdomen and perineum
SMTS00408,408,昏厥,Hun Jue,fainting
SMTS00409,409,昏迷,Hun Mi,coma
SMTS00410,410,昏仆,Hun Pu,Fainting
SMTS00411,411,昏睡,Hun Shui,lethargy
SMTS00412,412,活动受限,Huo Dong Shou Xian,limited activity
SMTS00413,413,活动障碍,Huo Dong Zhang Ai,Movement Disorder
SMTS00414,414,肌肤红,Ji Fu Hong,red skin
SMTS00415,415,肌肤下肿块数处,Ji Fu Xia Zhong Kuai Shu Chu,several lumps under the skin
SMTS00416,416,肌肤下肿块一处,Ji Fu Xia Zhong Kuai Yi Chu,a lump under the skin
SMTS00417,417,肌肤肿块数处,Ji Fu Zhong Kuai Shu Chu,several skin bumps
SMTS00418,418,肌肤肿块一处 推之能动,Ji Fu Zhong Kuai Yi Chu   Tui Zhi Neng Dong,A lump on the skin can be moved by pushing it
SMTS00419,419,肌肉关节酸痛,Ji Rou Guan Jie Suan Tong,Muscle and joint pain
SMTS00420,420,肌肉红肿热痛,Ji Rou Hong Zhong Re Tong,"muscle redness, swelling, heat and pain"
SMTS00421,421,肌肉剧痛,Ji Rou Ju Tong,severe muscle pain
SMTS00422,422,肌肉麻木,Ji Rou Ma Mu,muscle numbness
SMTS00423,423,肌肉疲劳,Ji Rou Pi Lao,Muscle Fatigue
SMTS00424,424,肌肉酸麻,Ji Rou Suan Ma,Muscle soreness and numbness
SMTS00425,425,肌肉酸痛,Ji Rou Suan Tong,muscle soreness
SMTS00426,426,肌肉疼痛,Ji Rou Teng Tong,Muscle Pain
SMTS00427,427,肌肉萎缩,Ji Rou Wei Suo,Muscle atrophy
SMTS00428,428,肌痩,Ji Shou,Muscle thinning
SMTS00429,429,肌痿无力,Ji Wei Wu Li,muscle weakness and weakness
SMTS00430,430,积聚痞块,Ji Ju Pi Kuai,accumulation of lumps
SMTS00431,431,积滞,Ji Zhi,stagnation
SMTS00432,432,积滞不消,Ji Zhi Bu Xiao,lingering stagnation
SMTS00433,433,积滞内停,Ji Zhi Nei Ting,internal stagnation
SMTS00434,434,积滞胀满,Ji Zhi Zhang Man,stagnation and fullness
SMTS00436,436,急性起并半身不遂,Ji Xing Qi Bing Ban Shen Bu Sui,acute onset and hemiplegia
SMTS00437,437,急躁易怒,Ji Zao Yi Nu,irritable and irritable
SMTS00438,438,记忆减退,Ji Yi Jian Tui,memory loss
SMTS00439,439,记忆力减退,Ji Yi Li Jian Tui,memory loss
SMTS00441,441,肩背酸痛,Jian Bei Suan Tong,shoulder and back pain
SMTS00442,442,肩臂疼痛,Jian Bi Teng Tong,shoulder and arm pain
SMTS00443,443,肩部疼痛重着,Jian Bu Teng Tong Zhong Zhao,severe shoulder pain
SMTS00444,444,肩颈疼痛,Jian Jing Teng Tong,shoulder and neck pain
