term,label
发热是多种疾病的常见症状。小儿正常体温常以肛温36.5～37.5℃,hot
发热是多种疾病的常见症状。高热(High Fever)在临床上属于危重症范畴。小儿正常体温常以肛温36.5～37.5℃,hot
发生喘咳。症见发热咳嗽,hot
发生在舌的称舌疡。可见于现代医学的口腔溃疡。疮疡皆属于火,hot
发生盆腔慢性炎症性组织学改变,hot
发瘀等的病理状态。血热多由邪热入血所致,hot
口干咽燥,hot
口干咽燥等症。,hot
口干唇燥,hot
口燥咽干,hot
口腔炎症是指口颊,hot
可分为热淋,hot
可分为细菌性结膜炎和病毒性结膜炎两类,hot
可见于多种感染性疾病和非感染性疾病。但有时体温升高不一定都是疾病引起的,hot
可认为发热。所谓低热,hot
名非哺乳期乳痈。现代医学之急性化脓性乳腺炎属于乳痈范畴。,hot
后世将外科分为疮疡与杂证两大类。疮疡多由毒邪内侵,hot
呈黄色或黄绿色。脓液是机体组织炎症过程中形成的浓稠或稀薄的渗出物,hot
咯黄稠痰或痰中带血,hot
咽喉炎以及病毒感染甚至心肌梗死均可引起咽喉痛。,hot
咽喉痒是慢性咽炎的一种症状,hot
咽或喉部急性炎症的总称。广义的上感不是一个疾病诊断,hot
咽结膜热,hot
哮喘又名支气管哮喘。支气管哮喘是由多种细胞及细胞组分参与的慢性气道炎症,hot
喉炎,hot
喜冷畏热,hot
因外感而喘咯咳唾者 《泰定养生主论》 “热痰者,hot
因感受风邪或风热怫郁而发的病证。《泰定养生主论》：“风痰者,hot
因风热客于肠胃或湿热蕴积肠胃,hot
在面部可引起疔疮走黄（西医称为败血症或脓毒败血症）,hot
均称“烦热”。多由于里热过盛,hot
增生性颈椎炎,hot
壅阻少阳经脉引起的时行疾病。以发热,hot
壮热是指病人自觉热甚,hot
复杂性高热惊厥愈后则较差。,hot
外感热邪,hot
外感风热所致。中医认为,hot
外界温度变化和过度吸烟亦可引起。呃逆频繁或持续24小时以上,hot
外痔发炎,hot
外而肿热,hot
外阴炎,hot
多兼面赤,hot
多属实火,hot
多属肺热。,hot
多数白带异常为感染或炎症引起,hot
多烦热,hot
多由于风火,hot
多由热盛伤津或阴液亏虚所致,hot
多由邪热犯胃,hot
夜热早凉是指夜间低热,hot
大于2cm者称为斑片。斑疹可以分为炎症性和非炎症性两种。有的斑疹上还会有鳞屑,hot
大便干燥多见于中老年人,hot
大便黄而黏腻,hot
大黄,hot
大黄等药煎服,hot
天行暴赤。俗称红眼病。本病见于《银海精微》。该书对本病病因及其传染流行等均有描述。多于夏秋之季发病,hot
天行赤眼,hot
天行赤眼暴翳,hot
头发干枯而黄,hot
头面噏噏而热,hot
头面烘热,hot
如上呼吸道某一局部炎症特别突出,hot
如急性鼻炎,hot
如感染性高热等。局部性多汗症常初发于儿童或青少年,hot
如滴虫性阴道炎,hot
如潮汐之有定时。午后潮热,hot
子宫内膜炎,hot
子宫内膜炎或盆腔感染,hot
子宫内膜炎等引起的经期延长。宫内节育器和输卵管结扎后引起的经期延长也按本病治疗。本病一般预后良好。,hot
子宫颈炎,hot
宜五苓散加大黄,hot
宜半黄丸。”④素有痰疾,hot
宜温气汤。痛而小便不利为湿热,hot
宜温补汤。痛而拒按为实,hot
宜用六味地黄丸加沙苑子。参见消渴条。蛔虫会引起不同程度的善饥。,hot
宜补血清热,hot
宜黄芩,hot
审因论治。特别是对功能性低热,hot
宫寒顾名思义是“子宫寒冷”的简称。在中医学的文献记载和正式的教科书及相关的中医妇科专著中并无此词条。但是“宫寒”已经成为深入人心的热词,hot
容易在体内积累毒素,hot
寒温失调等多种因素导致肝气失舒,hot
寒热往来是发热与恶寒交替出现的一种热型,hot
寒热虚实夹杂者宜通涩兼施,hot
寒痢宜温,hot
对于各种疑难疮毒,hot
导致体温升高超过正常范围的情形。每个人的正常体温略有不同,hot
小便热赤,hot
小便短赤,hot
小便赤涩,hot
小儿急性上呼吸道感染系由各种病原引起的上呼吸道炎症,hot
尤其是有皲裂或溃疡的炎症为致病菌提供了侵入的途径。轻度擦伤或搔抓,hot
就是我们平常所说的“骨毒”。“骨毒”长期存在于骨与骨膜之上形成“宿毒”。宿毒使得骨及关节周围软织反复充血,hot
尿毒症,hot
尿赤,hot
局部灼痛明显,hot
属于阴虚内热的症候,hot
属里实热证,hot
常为烧灼感,hot
常伴出汗及心悸而出现的燥热症状,hot
常温中即有蒸发。汞中毒以慢性为多见,hot
干燥,hot
干燥多风,hot
并自觉心胸烦热。多由阴虚火旺,hot
并非疾病。多见于急性肝炎时,hot
形成肉眼呈灰黄色或黄白色的浓稠状液体。其处理方法主要有：清理伤口感染,hot
心包炎,hot
心火上炎,hot
急性咽炎,hot
急性多发性神经根炎性麻木,hot
急性扁桃体炎等。急性上感主要用于上呼吸道局部感染定位并不确切者。鼻咽部感染常出现并发症,hot
急性梗阻性化脓性胆管炎等,hot
急性胃肠炎,hot
急性胆囊炎,hot
急性高热多见于感染性和变态感应性疾病,hot
急慢性支气管炎发作等呼吸系统疾病都有可能出现本病症。,hot
恶寒与发热交替发作,hot
恶寒发热,hot
恶毒疮,hot
患者常有传染病接触史。本病与西医学之急性传染性结膜炎相似。,hot
患者经常出现大便干燥,hot
感寒停湿及热迫肠胃所致。,hot
感染引起的神经炎性麻木,hot
慢性咽炎,hot
慢性肾炎,hot
慢性胃炎,hot
慢性胆囊炎,hot
慢性胆管炎,hot
或一日之间体温相差在1℃以上,hot
或低热持续,hot
或因风热怫郁而然也。此皆素抱痰疾者,hot
或在炎热环境中进行体力活动引起机体体温调节功能紊乱所致的一组临床症候群,hot
或外感风热,hot
或干燥,hot
或恶热,hot
或温热病后期及内伤杂病,hot
或渴喜热饮,hot
或湿热,hot
或烦躁而有闷热的感觉,hot
或热病后期阴液尚未恢复,hot
或热盛耗伤津液,hot
或病后余热留恋,hot
或病后虚热不清及火热内郁所致。是虚损劳瘵等病的常见症之一。治宜滋阴降火,hot
或痰火暴亢,hot
或突然高热寒战,hot
或经血的突然增加。临床上以出血时间与基础体温（BBT）曲线对照,hot
或胃腑湿热上蒸鼻窍所致的,hot
或胆经炎热,hot
或脾胃湿热,hot
或自觉有热感,hot
或见赤白相兼,hot
或赤白兼下,hot
或近火取暖,hot
或邪毒,hot
或阴虚火旺,hot
所生病证之一。又为劳倦内伤及五心烦热的症状之一,hot
扁桃体炎,hot
手心热,hot
指上焦心肺之热,hot
指大便干燥。多由胃肠燥热,hot
指炎症的一般症状。即损伤或炎症导致的身体某部位组织的肿胀及疼痛,hot
指热病过程中发于肌表的斑和疹两种证候。见《伤寒九十论·发斑证》。斑和疹虽系两证,hot
指疼痛有灼热之感,hot
指腋温为37.5℃38,hot
指腋温为37.5℃～38℃,hot
损害破裂而排出脓性黄白色汁液坏死物,hot
摄入很热或冷的食物饮料,hot
支气管扩张是由于支气管及其周围肺组织慢性化脓性炎症和纤维化,hot
支气管黏膜或胸膜受炎症,hot
故为赤痢。,hot
故云热痰也。”②火痰 《杂病源流犀烛·痰饮源流》 “热痰,hot
故令身体虚热,hot
故又称非毒性甲状腺肿,hot
故见小便赤涩。,hot
故黄疸患者巩膜黄染常先于黏膜,hot
散热减少,hot
无菌性炎症,hot
易并发肺炎,hot
是一病证名。在《诸病源候论·病热候》中有记载。多因内伤劳损所致,hot
是一种毒疮。痈发于肌肉,hot
是一种特殊类型的慢性喉炎,hot
是一种证名。指全身发热的症象。,hot
是以痢下赤白脓血,hot
是各种消化道疾病常见的症状之一。尤其是反流性食管炎,hot
是指人体被毒蛇咬伤,hot
是指外感热邪入血中,hot
是指按时发热,hot
是指每日午后发热。本病属里证,hot
是指致热原直接作用于体温调节中枢,hot
是机体组织炎症过程中形成的浓稠或稀薄的混和物,hot
是热淋之甚者,hot
是热病后余毒结于颐颌间引起的急性化脓性疾病。临床特点是常发生于热病后期,hot
是颈椎骨关节炎,hot
普遍的临床症状均可表现关节疼痛（arthralgia）。任何原因导致的关节炎,hot
最好是和自己平时同样条件下的体温相比较。如不知自己原来的体温,hot
最常见于发热性疾病,hot
最常见的原因包括鼻炎,hot
月经等因素的影响。一般认为当口腔温度高于37.5 ℃,hot
月经等）的影响。因此判定是否发热,hot
服抗炎药可缓解的症状。症状包括下腹部疼痛,hot
某些妇女疾病（盆腔炎,hot
某些情况可有生理性体温升高,hot
根尖周炎,hot
此种炎症常伴随引起气道反应性增高,hot
气郁化火而寻致胃阴耗伤。其主要临床表现是：胃部隐痛,hot
沙眼是由沙眼衣原体引起的一种慢性传染性结膜角膜炎,hot
沙石淋。多因下焦积热,hot
治宜滋阴降火。是慢性咽炎的症状之一,hot
治疗用滋阴清热法,hot
法当凉血。血热亦是小儿发热证型之一,hot
洗涤用品碱性强等都是导致皮肤干燥的重要原因。预防措施为加强皮肤的日常护理保养,hot
洗澡水过热,hot
测其体温39℃以上者,hot
消毒或去医院处理。,hot
清利湿热,hot
清热养阴,hot
清热导痰汤。③痰热聚于心者 《杂病源流犀烛·痰饮源流》 “在心曰热痰,hot
温毒症状之一。由於温热之毒内蕴肺胃,hot
温清并用。对具传染性的细菌性痢疾和阿米巴痢疾,hot
温肾,hot
湿热,hot
湿热下注是一个中医的术语。中医认为,hot
湿热下注等伤肾气不能固摄而病,hot
湿热之邪,hot
湿热痢重症。多因湿浊热毒蕴结肠中,hot
湿热等邪气痹阻腰膝所致。,hot
湿热蕴结于下焦,hot
湿热阻于肾与膀胱,hot
湿疹是由多种内外因素引起的瘙痒剧烈的一种皮肤炎症反应。分急性,hot
溃面有糜烂的现象。中医认为由脾胃积热,hot
潮热,hot
潮热又名潮红,hot
火“六淫”侵袭,hot
火痰,hot
火邪上炎和火热下迫等。,hot
灼热,hot
灼热感,hot
灼痛,hot
炎症,hot
炎症性白带,hot
炎症过程中细胞,hot
烧灼,hot
热,hot
热争则咳喘,hot
热在气分,hot
热壅,hot
热客膀胱,hot
热毒,hot
热毒较轻,hot
热气与痰水相搏,hot
热泻是指因热迫大肠所引起。亦名“火泻”。,hot
热病伤阴,hot
热痢,hot
热痢宜清,hot
热等邪气乘虚而入,hot
燥,hot
燥咳是病名。是因肺虚液少或燥邪伤肺所致的咳嗽。其证咳嗽痰少,hot
燥脾,hot
牙髓炎,hot
牙龈下的炎症通过牙缝,hot
牙龈（gingiva）是指覆盖于牙槽突表面和牙颈部周围的口腔黏膜上皮及其下方的结缔组织。牙龈肿痛主要是牙龈有炎症而表现出的一种症状,hot
玉女煎或泻黄散去防风加生地方。如属消渴病之善饥,hot
环境温度及湿度变化时加重,hot
甚则口燥,hot
甚至不能发出声音的症状。祖国医学称“暴喑”。多由风寒或风热火毒等邪犯喉,hot
甚至关节肿大灼热为主要临床表现。属于中医学“痹证”的范畴,hot
甚至关节肿大灼热为主要临床表现的病证。,hot
甚至昏厥的病症。多见于患有慢性支气管炎,hot
甚至每个小时都出现。天气和环境温度可加重潮热的发作。中医一般认为病机为阴虚,hot
甚至溃疡久不愈合。多由心脾积热,hot
用温胆汤,hot
用火郁汤加减。亦可选用知柏地黄丸,hot
由于风燥异气内犯肺鼻,hot
由炎性病变形成。最主要的临床症状为声嘶。通过喉镜检查可以进行临床诊断。治疗包括适当声带休息,hot
留滞生热,hot
疫毒,hot
疮毒等症。”孙氏疮毒中药膏是祖传百年,hot
疱疹性咽峡炎,hot
病名。由肠胃酝热所致的痢疾。证见里急后重,hot
病名绞肠痧。”治宜祛秽泄毒为大法。十指青冷者,hot
病机有寒热虚实之分。咳喘与痰密切相关,hot
病毒性咽炎,hot
病状名。指面部呈现枯萎晦黄的病色。多因脾胃虚弱,hot
病理性白带的性状都有很大的不同。病理性白带可分为非炎症性白带,hot
病症名。多为胞内有实热,hot
病证名。指痰热壅阻于肺,hot
症名。两手掌心有发热感觉。一名掌中热。手三阴经是动,hot
症名。即舌体及舌苔干燥,hot
痛如火燎的急性疱疹性皮肤病,hot
痢下赤色,hot
痤疮是毛囊皮脂腺单位的一种慢性炎症性皮肤病,hot
痰水与热相搏之病证,hot
痰热聚于心,hot
痰热阻肺,hot
痰色亦黄。治宜清热化痰,hot
痰証的一种。见《医学入门》卷五。又名气痰。多由肺燥所致。症见痰少色白,hot
痰黏或黄,hot
白睛溢血等。古代医家认为目赤有三,hot
皮肤及其他组织被染成黄色。因巩膜含有较多的弹性硬蛋白,hot
皮肤干燥以及中枢神经系统症状为特征。,hot
皮肤干燥是指皮肤缺乏水分令人感觉不适的现象。其症状主要为皮肤发紧,hot
皮色苍黄,hot
盆腔炎,hot
盆腔炎性包块为女性盆腔脏器的炎症未得到正规治疗,hot
盆腔炎症,hot
目珠每遇明亮温暖场所,hot
目赤,hot
目赤是指眼结膜充血,hot
目赤肿痛(swelling and pain of eye)为多种眼部疾患中的一个急性症状。古代文献根据发病原因,hot
眦角性睑缘炎。,hot
眼白红赤,hot
睑弦赤烂,hot
称为“带下病”。本病可见于现代医学的阴道炎,hot
称为月经延长。本病相当于西医学排卵型功能失调性子宫出血病的黄体萎缩不全者,hot
称隐性黄疸或亚临床黄疸,hot
类风湿性关节炎。,hot
精囊炎,hot
素有痰疾因外感而喘咯咳唾。①痰水与热邪相搏所致的病证 《诸病源候论·痰饮诸病候》 “热痰者,hot
紫暗的为热毒重,hot
红为热像,hot
组织被灼所致。,hot
细菌性咽-扁桃体炎。狭义的上感又称普通感冒,hot
结膜炎也可以引起畏光,hot
结膜炎时大都有不同程度的畏光流泪。多见于角膜异物,hot
羞明就是怕见亮光：眼睛因患角膜炎,hot
老年性阴道炎,hot
而且喜冷恶热。常因火邪窜络,hot
而肉眼看不出黄疸时,hot
而肠道炎症,hot
而长期高热可见于败血症,hot
肌肤枯燥。,hot
肛温比腋温约高0.5℃左右。肛温虽比腋温准确,hot
肛温比腋温约高0.5℃左右。若腋温超过37.4℃,hot
肝火或阴虚火旺所致。常见于中医学的暴风客热,hot
肝火犯肺,hot
肝炎等。,hot
肝胆之火,hot
肢体失于温煦而致者,hot
肺气失和所致。治以疏风清热为主。,hot
肺气失和所致。症状表现为发热重,hot
肺炎,hot
肺炎喘嗽等。多见于西医的肺部急性炎症病变。,hot
肺热之名出自《素问·刺热篇》：“肺热病者,hot
肺热咳嗽属于温病学。现代医学中的呼吸道感染,hot
肺热咳嗽是由于肺内郁热,hot
肺痈是指由于热毒瘀结于肺,hot
肺部有炎症。临床常伴有咳嗽,hot
肾与膀胱气化不利。病理因素为湿热。病位在肾与膀胱。辨证时首辨淋证类别,hot
肾小球肾炎,hot
肾盂肾炎等。治疗尿痛首先要控制急性感染,hot
肾脏本是水火之脏,hot
胃热是一种中医病症,hot
胃肠实热而引起。,hot
胆失通降所引起的以右胁胀痛为主要临床表现的一种疾病。胆胀为肝胆系病证中常见的疾病。其临床表现与西医学所称的慢性胆囊炎,hot
胆蕴热上薰鼻窍等所致,hot
胰腺炎等。,hot
胸中热,hot
胸部刺痛多见于急性肋软骨炎,hot
能迅速传染并引起广泛流行。故称天行赤眼。又名天行赤热,hot
脉滑数。治宜清热化痰,hot
脑炎等疾病,hot
腋温36～37℃衡量。通常情况下,hot
腋温比口温（舌下）低0.2～0.5℃,hot
腋窝温度高于37℃,hot
腰部神经根炎和某些腹部疾病皆可出现腰痛,hot
膀胱炎,hot
自觉发热,hot
至翌日清晨则热退身凉的表现。温病后期气阴耗伤,hot
舌上黄,hot
舌红苔黄等热盛之症。,hot
舌红苔黄腻,hot
舌苔黄腻为主证。多发生于夏令季节,hot
舌苔黄腻等。,hot
色白带黄,hot
苔微黄,hot
苔薄白微黄。风热感冒多见于夏秋季,hot
苔黄腻等。治疗可选用清热,hot
茯苓补心汤等方。火郁而宜升发者,hot
药物中毒,hot
营血虚热致白发,hot
蒸灼鼻窍,hot
蒸达于外所致。常见于外感温热病气分阶段,hot
虚弱而生内热,hot
虚火上扰,hot
虚火上浮而致,hot
虚烦是因虚而致心胸烦热者。由伤寒汗,hot
虚热,hot
虹膜炎,hot
虹膜炎等而怕见光的症状,hot
血热（heat in blood）,hot
衄血等。是风热之邪犯表,hot
表现为下腹部的隐痛和钝痛。炎性包块盆腔炎腹痛在月经期也会加重,hot
角膜炎及角膜外伤,hot
解毒,hot
认为由细菌或病毒感染,hot
证名。小便颜色较正常黄,hot
证名。指易有饥饿感。见《素问·至真要大论》。病因以胃热较为常见。治宜清胃,hot
证名。脐下部胀满。多见于以下几种情况。如伤寒发热,hot
证名。自觉头部胀重不适。外感内伤均可引起。外感多因湿热郁蒸所致。,hot
说明心有火。首先是清淡饮食,hot
诸疮毒肿。 明 李时珍 《本草纲目·虫二·蝎》：“诸疮毒肿。全蝎七枚,hot
赤痢,hot
超高热则为40℃以上。发热时间超过两周为长期发热。,hot
超高热则为41℃以上。发热时间超过两周为长期发热。,hot
身热,hot
身热腹痛,hot
身热面赤,hot
身热（The body is hot）,hot
进入高温环境或热水浴等均可使体温较平时略高,hot
选用败毒散等方。参见痧,hot
透皮入骨致病而形成“六毒”,hot
逐瘀泻热。,hot
邪毒亢盛,hot
邪热乘虚客于胸中,hot
邪热循经上蒸,hot
邪热灼血,hot
里急后重为临床特征。主要病因是外感时邪疫毒,hot
重者可发生内陷。类似于西医学化脓性腮腺炎。,hot
重者痛如刀割。尿痛常见于尿道炎,hot
铅中毒等也均会引起脸色苍白。面色苍白需查找原发疾病,hot
阳热不足的病理现象。阳气有温暖肢体,hot
阳热内盛,hot
阳痿多因命门火衰或心脾受损或恐惧伤肾所致。,hot
阴不足则先热后寒。”其病机是邪入半表半里,hot
阴津亏虚则夜热。,hot
阴茎和趾间的裂隙。皮肤的任何炎症,hot
阴虚火旺,hot
阴道炎,hot
阴阳相胜也。阳不足则先寒后热,hot
降火豁痰以治其标。同时,hot
除非局部晚期乳腺癌或炎性乳腺癌。乳房疼痛多来自非肿瘤性的乳房良性疾病。可以说乳房疼痛与乳房疾病的良恶性及疾病严重程度不成正比。,hot
随即发热,hot
震颤为主要症状。大剂量汞蒸气吸入或汞化合物摄入即发生急性汞中毒。对汞过敏者,hot
霉菌性阴道炎,hot
面神经炎俗称面神经麻痹（即面神经瘫痪）,hot
面色萎黄,hot
面黄发枯,hot
面黄肌瘦,hot
颜色深黄（甚至带有红色）。,hot
风和热相结合的病邪,hot
风毒窜络,hot
风湿热,hot
风热,hot
风热感冒(common cold with wind-heat syndrome)是风热之邪犯表,hot
风热感冒是感受风热之邪所致的表证。,hot
骨关节炎及肥大性关节炎等。,hot
高热39.1～40℃,hot
高热不退是指体温超过39.1℃。高热分为急性高热和长期高热,hot
高热惊厥是指小儿在呼吸道感染或其他感染性疾病早期,hot
鳞屑损害为主要表现的慢性复发性炎症性皮肤病。,hot
黄疸是常见症状与体征,hot
黄连解毒汤等等加减治疗。,hot
黑色的为热毒极重。类於暴发型流行性脑脊髓膜炎,hot
鼻塞黄涕,hot
鼻窦炎,hot
鼻部干燥,hot
齿龈炎,hot
“寒”在中医中还指病理产物之寒积聚在人体经脉脏腑中,cold
“寒气客于胃,cold
“流秽物”。造成白带异常,cold
不清洁的脐带结扎,cold
不象微脉那样模糊不清按：脉来沉细如丝,cold
中医病名。婴儿白天能安静入睡,cold
中医病名。本病白睛暴发红赤,cold
中医病症名。出《伤寒论•辨厥阴病脉证并治》。三阴头痛之一。《兰室秘藏•头痛门》：“厥阴头项痛,cold
中医病症名。指因痰盛气闭而引起四肢厥冷,cold
中医病证名。多由外感寒邪,cold
中医症状名。凡患者自觉怕冷,cold
临床上常以血红蛋白（Hb）浓度来代替。我国血液病学家认为在我国海平面地区,cold
为冷结在膀胱关元,cold
也可能是疾病的一种表现。目前发生的机制不是完全清楚,cold
也就是病理性白带的原因很多,cold
也有虚实寒热之别,cold
也有说是性欲减退。性冷淡与性快感缺乏是两个不同的概念,cold
亦为厥阴头痛之证候特色（见陆定圃《冷庐医话•头痛》）。以巅顶,cold
仍感寒冷不能缓解的,cold
以其两寒相感,cold
以初起恶寒,cold
以痰质清稀色白的痰为特征。如由外感风寒而致病的,cold
以神清者为佳。,cold
但白天如常的一种病证。,cold
体感受寒邪。《灵枢·邪气脏腑病形》：“形寒寒饮则伤肺,cold
便白如胶冻,cold
便质稀薄,cold
先有 恶寒,cold
其发生是由于胆红素代谢障碍而引起血清内胆红素浓度升高所致。临床上表现为巩膜,cold
其寒时自寒而不觉热。与恶寒发热的寒热同时并作不同。《类证活人书》：“往来寒热者,cold
其热时自热而不觉寒,cold
其质或稠或稀的表现。,cold
冒冷汗,cold
冷汗,cold
则出现恶寒肢冷,cold
半夏白术天麻汤,cold
即手足发凉冷。又称四逆,cold
即由于外来之寒邪或者是人体脾肾阳虚所生之内寒停滞在女性胞宫,cold
即称为消瘦。体内脂肪与蛋白质减少,cold
即贪凉涉水,cold
即边界清楚,cold
厥冷,cold
又犯大寒,cold
又称“下白物”,cold
发热恶寒等为主要证候特点。病情有轻重不同,cold
受大自然寒邪侵袭,cold
受寒,cold
可伴恶风寒。,cold
可选用清骨散,cold
同时可伴腰痛发凉,cold
同时增加胃蛋白酶的活性,cold
吐清水,cold
呈黄色或黄绿色。脓液是机体组织炎症过程中形成的浓稠或稀薄的渗出物,cold
咳吐清稀,cold
咳嗽喘促等。治以清肺,cold
咳嗽声音清脆,cold
咳嗽等症状。由脾肾虚寒引起的,cold
咽喉部出现白色腐膜,cold
喜冷畏热,cold
喜暖畏寒,cold
四肢厥冷,cold
四肢清冷,cold
因寒,cold
因过食寒凉,cold
困倦。出自清·李宝嘉《官场现形记》第三十六回。又指劳累,cold
在《伤寒论》名曰中风（亦称桂枝汤证）,cold
坏死的白细胞,cold
复感风寒外邪,cold
外阴白色病变等出现以阴痒为主证时,cold
多因受寒,cold
多属外感风寒,cold
多数白带异常为感染或炎症引起,cold
多见于阳虚虚寒的病人,cold
夜热早凉是指夜间低热,cold
大便溏泄清稀,cold
大便稀臭,cold
大便稀薄,cold
大便稀薄等症状。治疗根据引起纳差的病因病机辨证施治。,cold
大便色灰白如陶土,cold
大致涉及因感受风寒引起发作的偏头痛,cold
失音（aphonia ）是指神清而声音嘶哑,cold
如内蕴暑湿而外感风寒,cold
如白内障,cold
如白血病,cold
妇女阴道分泌物色白,cold
它多发于一年中的寒冷季节,cold
宜补血清热,cold
宫寒顾名思义是“子宫寒冷”的简称。在中医学的文献记载和正式的教科书及相关的中医妇科专著中并无此词条。但是“宫寒”已经成为深入人心的热词,cold
宫颈及子宫内膜腺体分泌物等混合形成白带。正常白带呈白色黏液状或蛋清样,cold
宫颈癌等其他疾病引起。临床表现常见白带增多,cold
容易出现虚寒的征象。常见的有胃阳虚,cold
寒,cold
寒温失调等多种因素导致肝气失舒,cold
寒湿下注,cold
寒湿结于肠腑,cold
寒热往来是发热与恶寒交替出现的一种热型,cold
寒热虚实夹杂者宜通涩兼施,cold
寒疝是一种急性腹痛的病症。见《金匮要略》。由脾胃虚寒,cold
寒痢宜温,cold
寒邪侵入太阳经络,cold
小便清长,cold
